capability_id,"edition","layer","feature","direction",subset_level,"function_code","object_group","variations","qualifiers","std_reference",dut_pics_status,"backend_status","framework_status",test_case_ids,"evidence","owner","notes"
TRANSPORT.SEQUENCE,IEEE1815-2012,TRANSPORT,"Sequence wrap duplicate missing and out-of-order handling",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
TRANSPORT.RESOURCE_LIMIT,IEEE1815-2012,TRANSPORT,"Fragment length timeout and bounded-memory enforcement",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.CONTROL,IEEE1815-2012,APPLICATION,"FIR FIN CON UNS and application sequence",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FRAGMENTATION,IEEE1815-2012,APPLICATION,"Multi-fragment response assembly and boundaries",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.CONFIRMATION,IEEE1815-2012,APPLICATION,"Application confirmation timeout retry and duplicate handling",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.SEQUENCING,IEEE1815-2012,APPLICATION,"Solicited unsolicited and request sequence correlation",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.UNSOLICITED,IEEE1815-2012,APPLICATION,"Unsolicited enable disable startup handshake event and confirm",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.TASK.LIFECYCLE,IEEE1815-2012,APPLICATION,"Task timeout cancel disconnect and duplicate-execution protection",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.TASK.OBSERVABILITY,IEEE1815-2012,APPLICATION,"Task timing IIN response header object counts and failure stage",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.CLASS.EVENTS,IEEE1815-2012,APPLICATION,"Class 0 and Class 1 2 3 events ordering overflow and timestamps",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.ASSIGN_CLASS,IEEE1815-2012,APPLICATION,"Assign Class all-object range and indexed forms",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.TIME,IEEE1815-2012,APPLICATION,"Delay measurement time write CTO and synchronization workflows",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.COMMAND_STATUS.CATALOG,IEEE1815-2012,APPLICATION,"IEEE 1815-2012 command status catalog",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FILE.TRANSACTION,IEEE1815-2012,APPLICATION,"Group 70 file transaction state machine",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.DATASET.TRANSACTION,IEEE1815-2012,APPLICATION,"Groups 83 and 85 through 88 Data Set transaction state machine",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.VIRTUAL_TERMINAL.TRANSACTION,IEEE1815-2012,APPLICATION,"Groups 112 and 113 Virtual Terminal transaction state machine",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.CONFIG.TRANSACTION,IEEE1815-2012,APPLICATION,"Application initialize start stop save activate and recovery",BIDIRECTIONAL,REVIEW_REQUIRED,,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.00.CONFIRM,IEEE1815-2012,APPLICATION,"Confirm",BIDIRECTIONAL,REVIEW_REQUIRED,0,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.01.READ,IEEE1815-2012,APPLICATION,Read,M2O,REVIEW_REQUIRED,1,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.02.WRITE,IEEE1815-2012,APPLICATION,"Write",M2O,REVIEW_REQUIRED,2,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.03.SELECT,IEEE1815-2012,APPLICATION,Select,M2O,REVIEW_REQUIRED,3,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.04.OPERATE,IEEE1815-2012,APPLICATION,"Operate",M2O,REVIEW_REQUIRED,4,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.05.DIRECT_OPERATE,IEEE1815-2012,APPLICATION,"Direct Operate",M2O,REVIEW_REQUIRED,5,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.06.DIRECT_OPERATE_NR,IEEE1815-2012,APPLICATION,"Direct Operate No Response",M2O,REVIEW_REQUIRED,6,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.07.IMMED_FREEZE,IEEE1815-2012,APPLICATION,"Immediate Freeze",M2O,REVIEW_REQUIRED,7,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.08.IMMED_FREEZE_NR,IEEE1815-2012,APPLICATION,"Immediate Freeze No Response",M2O,REVIEW_REQUIRED,8,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.09.FREEZE_CLEAR,IEEE1815-2012,APPLICATION,"Freeze and Clear",M2O,REVIEW_REQUIRED,9,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.0A.FREEZE_CLEAR_NR,IEEE1815-2012,APPLICATION,"Freeze and Clear No Response",M2O,REVIEW_REQUIRED,10,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.0B.FREEZE_AT_TIME,IEEE1815-2012,APPLICATION,"Freeze at Time",M2O,REVIEW_REQUIRED,11,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.0C.FREEZE_AT_TIME_NR,IEEE1815-2012,APPLICATION,"Freeze at Time No Response",M2O,REVIEW_REQUIRED,12,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.0D.COLD_RESTART,IEEE1815-2012,APPLICATION,"Cold Restart",M2O,REVIEW_REQUIRED,13,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.0E.WARM_RESTART,IEEE1815-2012,APPLICATION,"Warm Restart",M2O,REVIEW_REQUIRED,14,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.0F.INITIALIZE_DATA,IEEE1815-2012,APPLICATION,"Initialize Data",M2O,REVIEW_REQUIRED,15,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.10.INITIALIZE_APPL,IEEE1815-2012,APPLICATION,"Initialize Application",M2O,REVIEW_REQUIRED,16,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.11.START_APPL,IEEE1815-2012,APPLICATION,"Start Application",M2O,REVIEW_REQUIRED,17,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.12.STOP_APPL,IEEE1815-2012,APPLICATION,"Stop Application",M2O,REVIEW_REQUIRED,18,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.13.SAVE_CONFIG,IEEE1815-2012,APPLICATION,"Save Configuration",M2O,REVIEW_REQUIRED,19,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.14.ENABLE_UNSOLICITED,IEEE1815-2012,APPLICATION,"Enable Unsolicited",M2O,REVIEW_REQUIRED,20,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.15.DISABLE_UNSOLICITED,IEEE1815-2012,APPLICATION,"Disable Unsolicited",M2O,REVIEW_REQUIRED,21,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.16.ASSIGN_CLASS,IEEE1815-2012,APPLICATION,"Assign Class",M2O,REVIEW_REQUIRED,22,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.17.DELAY_MEASURE,IEEE1815-2012,APPLICATION,"Delay Measurement",M2O,REVIEW_REQUIRED,23,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.18.RECORD_CURRENT_TIME,IEEE1815-2012,APPLICATION,"Record Current Time",M2O,REVIEW_REQUIRED,24,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.19.OPEN_FILE,IEEE1815-2012,APPLICATION,"Open File",M2O,REVIEW_REQUIRED,25,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.1A.CLOSE_FILE,IEEE1815-2012,APPLICATION,Close File,M2O,REVIEW_REQUIRED,26,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.1B.DELETE_FILE,IEEE1815-2012,APPLICATION,Delete File,M2O,REVIEW_REQUIRED,27,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.1C.GET_FILE_INFO,IEEE1815-2012,APPLICATION,"Get File Information",M2O,REVIEW_REQUIRED,28,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.1D.AUTHENTICATE_FILE,IEEE1815-2012,APPLICATION,"Authenticate File",M2O,REVIEW_REQUIRED,29,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.1E.ABORT_FILE,IEEE1815-2012,APPLICATION,"Abort File",M2O,REVIEW_REQUIRED,30,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.1F.ACTIVATE_CONFIG,IEEE1815-2012,APPLICATION,"Activate Configuration",M2O,REVIEW_REQUIRED,31,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.20.AUTHENTICATE_REQ,IEEE1815-2012,APPLICATION,"Authenticate Request",BIDIRECTIONAL,REVIEW_REQUIRED,32,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.21.AUTH_REQ_NO_ACK,IEEE1815-2012,APPLICATION,"Authentication Request No Ack",BIDIRECTIONAL,REVIEW_REQUIRED,33,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.81.RESPONSE,IEEE1815-2012,APPLICATION,"Solicited Response",O2M,REVIEW_REQUIRED,129,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.82.UNSOLICITED_RESPONSE,IEEE1815-2012,APPLICATION,"Unsolicited Response",O2M,REVIEW_REQUIRED,130,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
APP.FC.83.AUTHENTICATE_RESP,IEEE1815-2012,APPLICATION,"Authenticate Response",BIDIRECTIONAL,REVIEW_REQUIRED,131,,,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V196,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 196",O2M,REVIEW_REQUIRED,,0,196,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V197,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 197",O2M,REVIEW_REQUIRED,,0,197,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V198,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 198",O2M,REVIEW_REQUIRED,,0,198,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V199,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 199",O2M,REVIEW_REQUIRED,,0,199,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V200,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 200",O2M,REVIEW_REQUIRED,,0,200,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V201,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 201",O2M,REVIEW_REQUIRED,,0,201,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V202,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 202",O2M,REVIEW_REQUIRED,,0,202,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V203,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 203",O2M,REVIEW_REQUIRED,,0,203,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V204,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 204",O2M,REVIEW_REQUIRED,,0,204,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V205,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 205",O2M,REVIEW_REQUIRED,,0,205,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V206,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 206",O2M,REVIEW_REQUIRED,,0,206,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V207,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 207",O2M,REVIEW_REQUIRED,,0,207,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V208,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 208",O2M,REVIEW_REQUIRED,,0,208,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V209,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 209",O2M,REVIEW_REQUIRED,,0,209,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V210,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 210",O2M,REVIEW_REQUIRED,,0,210,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V211,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 211",O2M,REVIEW_REQUIRED,,0,211,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
OBJ.G0.V212,IEEE1815-2012,APPLICATION,"Device Attribute group 0 variation 212",O2M,REVIEW_REQUIRED,,0,212,,REVIEW_REQUIRED,UNKNOWN,NOT_ANALYZED,BLOCKED,,,PROTOCOL_OWNER,"Exact IEEE 1815-2012 clause and behavior require formal-standard review"
